Maç_Kodu;Güncel_Maç;Hakem_Adı;MS1_Sayı;MS1_Yüzde;MSX_Sayı;MSX_Yüzde;MS2_Sayı;MS2_Yüzde;Alt_2_5_Sayı;Alt_2_5_Yüzde;Üst_2_5_Sayı;Üst_2_5_Yüzde;KG_Var_Sayı;KG_Var_Yüzde;KG_Yok_Sayı;KG_Yok_Yüzde
2654764;Real Madrid - R. Sociedad;Francisco Jose Hernandez Maeso;9;%45;5;%25;6;%30;9;%45;11;%55;11;%55;9;%45
2648224;Groningen - Utrecht;Serdar Gozubuyuk;9;%45;3;%15;8;%40;10;%50;10;%50;9;%45;11;%55
2664830;Liverpool - Brighton;Stuart Attwell;8;%40;6;%30;6;%30;10;%50;10;%50;12;%60;8;%40
2654434;Granada - Real Valladolid;Luis Bestard Servera;3;%21;7;%50;4;%29;8;%57;6;%43;9;%64;5;%36
2720775;D. Maldonado - CA Progreso;Gustavo Tejera;9;%45;7;%35;4;%20;8;%40;12;%60;10;%50;10;%50
2654576;Paris - RC Lens;Bastein Dechepy;8;%40;7;%35;5;%25;8;%40;12;%60;13;%65;7;%35
2653901;Gil Vicente - Braga;Claudio Filipe Ruivo Pereira;6;%30;5;%25;9;%45;13;%65;7;%35;9;%45;11;%55
2653738;Banfield - Racing Club;Pablo Dovalo;9;%45;3;%15;8;%40;11;%55;9;%45;9;%45;11;%55
2664910;Deportes Limache - O'Higgins;Hector Jona;10;%50;5;%25;5;%25;11;%55;9;%45;12;%60;8;%40
2664841;Millonarios - Llaneros;Alejandro Moncada Sanchez;11;%55;5;%25;4;%20;12;%60;8;%40;9;%45;11;%55
2688512;Club Olimpia - Rubio NU;Derlis Lopez;7;%35;7;%35;6;%30;14;%70;6;%30;7;%35;13;%65
2653798;Talleres - Gimnasia Y.;Dario Herrera;11;%55;5;%25;4;%20;14;%70;6;%30;6;%30;14;%70
2654356;CA Huracan - CA Sarmiento;Sebastian Nicolas Martinez;8;%40;4;%20;8;%40;13;%65;7;%35;8;%40;12;%60
2648243;Atl San Luis - Queretaro;Adonai Escobedo Gonzalez;6;%30;5;%25;9;%45;13;%65;7;%35;10;%50;10;%50
2653867;Pachuca - Atlas;Victor Alfonso Caceres Hernandez;7;%35;8;%40;5;%25;10;%50;10;%50;15;%75;5;%25
